SP5503RAC3T4,"Delphine 5503 Sn96,5Ag3Cu0,5 - type 4 - 88% - Solderpaste (500g jar)","solder paste Delphine 5503 Sn96,5Ag3Cu0,5 type 4 88% 500g jar"
SP5503RAC3,"Delphine 5503 Sn96,5Ag3Cu0,5 type 3 -88% Solderpaste (500g jar)","solder paste Delphine 5503 Sn96,5Ag3Cu0,5 type 3 88% 500g jar"
SP5503SCAC3,"Delphine 5503 Sn96,5Ag3Cu0,5 -type3- 84% - Solderpaste (10cc syringe)","solder paste Delphine 5503 Sn96,5Ag3Cu0,5 type 3 84% 10cc syringe"
SP5504SN5/91,"Delphine 5504 Sn5Pb92,5Ag2,5 - type 3 - 91% Solderpaste (500g jar)","solder paste Delphine 5504 Sn5Pb92,5Ag2,5 type 3 91% 500g jar"
SP5504QAC3,"Delphine 5504 Sn96,5Ag3Cu0,5 - type 3 - 88% - Solderpaste (250g jars)","solder paste Delphine 5504 Sn96,5Ag3Cu0,5 type 3 88% 250g jar"
SP5504RAC3,"Delphine 5504 Sn96,5Ag3Cu0,5 - type 3 - 88% - Solderpaste (500g jar)","solder paste Delphine 5504 Sn96,5Ag3Cu0,5 type 3 88% 500g jar"
SP5505ATJ,DP 5505 AT Sn62Pb36Ag2 - type 3 - 90% Solderpaste (250g jar),solder paste DP 5505 Sn62Pb36Ag2 type 3 90% 250g jar
SP5505ATK,DP 5505 AT Sn62Pb36Ag2 - type 3 - 90% Solderpaste (500g jar),solder paste DP 5505 Sn62Pb36Ag2 type 3 90% 500g jar
SP5505ATKT4,DP 5505 AT Sn62Pb36Ag2 - type 4 - 90% Solderpaste (500g jar),solder paste DP 5505 Sn62Pb36Ag2 type 4 90% 500g jar
SP5505AT0.4K,"DP 5505 Sn62,8Pb36,8Ag0,4 - type 3 - 90% Solderpaste (500g jar)","solder paste DP 5505 Sn62,8Pb36,8Ag0,4 type 3 90% 500g jar"
SP5505SC,DP 5505 Sn62Pb36Ag2 - type 3 - 87% Solderpaste (10cc syringe),solder paste DP 5505 Sn62Pb36Ag2 type 3 87% 10cc syringe
SP5505J,DP 5505 Sn62Pb36Ag2 - type 3 - 90% Solderpaste (250g jar),solder paste DP 5505 Sn62Pb36Ag2 type 3 90% 250g jar
SP5505K,DP 5505 Sn62Pb36Ag2 - type 3 - 90% Solderpaste (500g jar),solder paste DP 5505 Sn62Pb36Ag2 type 3 90% 500g jar
SP5505SCT4,DP 5505 Sn62Pb36Ag2 - type 4 - 87% Solderpaste (10 cc syringe),solder paste DP 5505 Sn62Pb36Ag2 type 4 87% 10cc syringe
SP5505SDT4,DP 5505 Sn62Pb36Ag2 - type 4 - 87% Solderpaste (30cc syringe),solder paste DP 5505 Sn62Pb36Ag2 type 4 87% 30cc syringe
SP5505KT4,DP 5505 Sn62Pb36Ag2 - type 4 - 90% Solderpaste (500g jar),solder paste DP 5505 Sn62Pb36Ag2 type 4 90% 500g jar
SP5505IDT4,DP 5505 Sn62Pb36Ag2 - type 4-87% Solderpaste (30cc Iwashita syringe),solder paste DP 5505 Sn62Pb36Ag2 type 4 87% 30cc Iwashita syringe
SP5505KT5,DP 5505 Sn62Pb36Ag2 - type 5 - 90% Solderpaste (500g jar),solder paste DP 5505 Sn62Pb36Ag2 type 5 90% 500g jar
SP5505U,DP 5505 Sn63Pb37 - type 3 - 90% Solderpaste (500g jar),solder paste DP 5505 Sn63Pb37 type 3 90% 500g jar
SP5505PAC4S,"DP 5505 Sn95,5Ag4Cu0,5 - type 3 - 88,5% Solderpaste (1kg cartridge)","solder paste DP 5505 Sn95,5Ag4Cu0,5 type 3 88,5% 1kg cartridge"
SP5505SCAC4T5,"DP 5505 Sn95,5Ag4Cu0,5 - type 5 - 85% Solderpaste (10cc syringe)","solder paste DP 5505 Sn95,5Ag4Cu0,5 type 5 85% 10cc syringe"
SP5505MAC4T5,"DP 5505 Sn95,5Ag4Cu0,5 - type 5 - 88,5% Solderpaste (250g jar)","solder paste DP 5505 Sn95,5Ag4Cu0,5 type 5 88,5% 250g jar"
SP5505NA+,"DP 5505 Sn95,8Ag4,2 - type 3 - 88,5% - Solderpaste (500g jar)","solder paste DP 5505 Sn95,8Ag4,2 type 3 88,5% 500g jar"
SP5505SCAC3/85,"DP 5505 Sn96,5Ag3Cu0,5 - type 3 - 85% - Solderpaste (10cc syringe)","solder paste DP 5505 Sn96,5Ag3Cu0,5 type 3 85% 10cc syringe"
SP5505SBAC3/85,"DP 5505 Sn96,5Ag3Cu0,5 - type 3 - 85% Solderpaste (5cc syringe)","solder paste DP 5505 Sn96,5Ag3Cu0,5 type 3 85% 5cc syringe"
SP5505PAC3S2,"DP 5505 Sn96,5Ag3Cu0,5 - type 3 - 88,5% Solderpaste (1,2kg cartridge)","solder paste DP 5505 Sn96,5Ag3Cu0,5 type 3 88,5% 1,2kg cartridge"
SP5505PAC3S,"DP 5505 Sn96,5Ag3Cu0,5 - type 3 - 88,5% Solderpaste (1kg cartridge)","solder paste DP 5505 Sn96,5Ag3Cu0,5 type 3 88,5% 1kg cartridge"
SP5505MAC3,"DP 5505 Sn96,5Ag3Cu0,5 - type 3 - 88,5% Solderpaste (250g jar)","solder paste DP 5505 Sn96,5Ag3Cu0,5 type 3 88,5% 250g jar"
SP5505NAC3,"DP 5505 Sn96,5Ag3Cu0,5 - type 3 - 88,5% Solderpaste (500g jar)","solder paste DP 5505 Sn96,5Ag3Cu0,5 type 3 88,5% 500g jar"
